county,cause,sex,age_code,n-value,,n,,,
101,2,1,20,1,2.59246228,Low,4.179249878,Low,Low
101,2,1,21,1,3.639564159,Low,5.859494485,Low,Low
101,2,2,17,1,,Low,,Low,Low
101,3,1,16,1,,Low,,Low,Low
101,3,1,18,1,,Low,,Low,Low
101,3,1,19,1,,Low,,Low,Low
101,3,1,21,4,,High,,Medium,Low
101,3,1,22,1,,Low,,Low,Low
101,3,1,23,7,,High,,Medium,High
101,3,1,24,4,,High,,Medium,Low
101,3,1,25,4,,High,,Medium,Low
101,3,2,18,1,,Low,,Low,Low
101,3,2,21,1,,Low,,Low,Low
101,3,2,22,2,,Low,,Medium,Low
101,3,2,23,5,,High,,Medium,High
101,3,2,24,6,,High,,Medium,High
101,3,2,25,1,,Low,,Low,Low
101,4,1,18,1,,Low,,Low,Low
101,4,2,20,1,,Low,,Low,Low
101,4,2,21,1,,Low,,Low,Low
101,6,1,10,1,,Low,,Low,Low
101,6,1,11,1,,Low,,Low,Low
101,6,1,13,1,,Low,,Low,Low
101,6,1,14,3,,High,,Medium,Low
101,6,1,15,4,,High,,Medium,Low
101,6,1,16,5,,High,,Medium,High
101,6,1,17,10,,High,,High,High
101,6,1,18,23,,High,,High,High
101,6,1,19,26,,High,,High,High
101,6,1,20,31,,High,,High,High
101,6,1,21,25,,High,,High,High
101,6,1,22,24,,High,,High,High
101,6,1,23,36,,High,,High,High
101,6,1,24,15,,High,,High,High
101,6,1,25,4,,High,,Medium,Low
101,6,1,26,1,,Low,,Low,Low
101,6,2,10,1,,Low,,Low,Low
101,6,2,11,1,,Low,,Low,Low
101,6,2,13,4,,High,,Medium,Low
101,6,2,14,4,,High,,Medium,Low
101,6,2,15,4,,High,,Medium,Low
101,6,2,16,19,,High,,High,High
101,6,2,17,10,,High,,High,High
101,6,2,18,20,,High,,High,High
101,6,2,19,16,,High,,High,High
101,6,2,20,19,,High,,High,High
101,6,2,21,9,,High,,High,High
101,6,2,22,33,,High,,High,High
101,6,2,23,18,,High,,High,High
101,6,2,24,15,,High,,High,High
101,6,2,25,3,,High,,Medium,Low
101,7,1,15,1,,Low,,Low,Low
101,7,1,22,2,,Low,,Medium,Low
101,7,1,23,1,,Low,,Low,Low
101,7,1,24,1,,Low,,Low,Low
101,7,2,15,1,,Low,,Low,Low
101,7,2,17,1,,Low,,Low,Low
101,7,2,19,1,,Low,,Low,Low
101,7,2,22,1,,Low,,Low,Low
101,7,2,23,1,,Low,,Low,Low
101,7,2,24,1,,Low,,Low,Low
101,9,1,18,3,,High,,Medium,Low
101,9,1,19,3,,High,,Medium,Low
101,9,1,20,4,,High,,Medium,Low
101,9,1,21,4,,High,,Medium,Low
101,9,1,22,3,,High,,Medium,Low
101,9,1,23,1,,Low,,Low,Low
101,9,1,24,2,,Low,,Medium,Low
101,9,2,14,1,,Low,,Low,Low
101,9,2,17,1,,Low,,Low,Low
101,9,2,19,1,,Low,,Low,Low
101,9,2,20,1,,Low,,Low,Low
101,9,2,21,4,,High,,Medium,Low
101,9,2,22,7,,High,,Medium,High
101,9,2,23,5,,High,,Medium,High
101,9,2,24,6,,High,,Medium,High
101,9,2,25,2,,Low,,Medium,Low
101,10,1,21,2,,Low,,Medium,Low
101,10,1,23,8,,High,,High,High
101,10,1,24,2,,Low,,Medium,Low
101,10,1,25,2,,Low,,Medium,Low
101,10,2,21,1,,Low,,Low,Low
101,10,2,22,3,,High,,Medium,Low
101,10,2,23,7,,High,,Medium,High
